21三体综合症	trisomy
不加区别	indiscriminate
不加拘束	unrestricted
不加掩饰	undisguised
不动摇	unmoved
不受欢迎	unwelcome
不可	cannot
不可侵犯权	inviolability
不可分离	inseparable
不可思议	unimaginable
不可收拾	unmanageable
不可数	uncountable
不可知论	agnosticism
不可磨灭	indelible
不可缺少	indispensable
不可置信	unbelievable
不可逆	irreversible
不可避	unavoidable
不可避免	unavoidably
不可靠	unreliable
不合作	noncooperation
不合理	unreasonable
不吉利	ominous
不吐气	unaspirated
不周延	undistributed
不堪忍受	unbearable
不妥协	uncompromising
不孝	unfilial
不完善	imperfect
不定词	infinitive
不容置疑	unquestionable
不实	untruthful
不已	incessantly
不带电	uncharged
不平衡	disequilibrium
不幸之事	mishap
不必要	needless
不情愿	unwilling
不想	unexpectedly
不慌不忙	unhurried
不拉叽	nasty
不明不白	dubious
不智	unwise
不朽	eternal
不正常	abnormal
不比	unlike
不毛	barren
不清	unclear
不凑巧	unluckily
不准确	imprecise
不溶	insoluble
不满意	dissatisfied
不由自主	involuntarily
不当	unsuitable
不相容	incompatible
不知不觉	unwittingly
不知何故	somehow
不确实	untrue
不稳性	instability
不结盟	nonalignment
不经意	carelessly
不义	injustice
不声不响	silent
不育性	sterility
不自然	unnatural
不舒适	uncomfortable
不要	don't!
不规则	irregular
不觉	unconsciously
不触目	unobtrusive
不言自明	self-evident
不调和	discord
不豫	displeased
不轨	errant
不透明	opaque
不逞之徒	desperado
不连续	discontinuous
不道德	immoral
不食人间烟火	otherworldly
不饱和	unsaturated
丕	grand
世仇	feud
世爵	Spyker
世界级	world-class
世界语	Esperanto
丘比特	Cupid
丘脑	thalamus
丘陵	hills
丙烯腈	acrylo-nitrile
丙烷	propane
丞	deputy
中介所	agency
中位数	median
中低端	mid-to-low-range
中俄	China-Russia
中南海	Zhongnanhai
中印	China-India
中和剂	neutralizer
中国	China
中国中心主义	Sinocentrism
中国城	Chinatown
中国海洋石油总公司	CNOOC
中土	Sino-Turkish
中子	neutron
中尼	China-Nepal
中层	middle-ranking
中式英语	Chinglish
中心	center
中心粒	centriole
中性	neutral
中意	Sino-Italian
中提琴	viola
中文标准交换码	CSIC
中板	moderato
中欧	Sino-European
中法	China-France
中波	Chinese-Polish
中流	midstream
中程	medium-range
中等	medium
中篇小说	novella
中继器	repeater
中美	China-USA
中肯	pertinent
中华龙鸟	Sinosauropteryx
中号	medium-sized
中西部	midwest
中转站	interchange
中途	midway
中都	Zhongdu
中间件	middleware
中间神经元	interneuron
中青年	middle-aged
中饭	lunch
串串狗	mutt
串串猫	moggy
丳	skewer
丸剂	pill
丹佛	Denver
丹尼索瓦人	Denisovan
丹麦	Denmark
主修	major
主嫌	prime
主导性	leadership
主席团	presidium
主教	bishop
主教座堂	cathedral
主机板	motherboard
主权	sovereignty
主犯	culprit
主管人员	executive
主裁判	umpire
主要	main
主观	subjective
主观主义	subjectivism
主词	subject
乀	stretch
幺点	ace
之上	above
之字形	Z-shaped
乍得	Chad
乍浦	Zhapu
乏味	tedious
乘客	passenger
乘数	multiplier
乘法	multiplication
乙种	beta-
乙醇	ethanol
九十	ninety
九层塔	basil
九旬老人	nonagenarian
九边形	nonagon
乞丐	beggar
也就是	i.e.
也许	perhaps
也门	Yemen
乳剂	emulsion
乳化剂	emulsifier
乳房摄影	mammography
乳果糖	lactulose
乳杆菌	lactobacillus
乳清	whey
乳白天空	whiteout
乳糖	lactose
乳腺炎	mastitis
乳胶	latex
乳贴	pasties
乳酪	cheese
乳头	nipple
乳头瘤	papilloma
乳香	frankincense
干梅子	prunes
干燥剂	desiccant
干草	hay
干贝	conpoy
干酪素	casein
乱七八糟	muddled
乱局	turmoil
乱掉	chaotic
乱民	rebels
亄	covetous
了然	evident
事事	everything
事件	incident
二来	secondly
二元论	dualism
二十	twenty
二十面体	icosahedron
二𫫇英	dioxin
二月份	February
二极管	diode
二氧化物	dioxide
二氯甲烷	dichloromethane
二甲苯	xylene
二硫基丙醇	dimercaprol
二糖	disaccharide
二级士官	sergeant
二维	two-dimensional
二苯氯胂	diphenylchloroarsine
二郎神	Erlangshen
二醇	glycol
二重唱	duet
互	mutual
互不侵犯	non-aggression
互操性	interoperability
互相依存	interdependent
互相连接	interlinked
互联	interconnected
互联网	Internet
互连	interconnection
五光十色	dazzling
五十	fifty
五十铃	Isuzu
五彩纸屑	confetti
五旬节	Pentecost
五月份	May
五棱镜	pentaprism
五角星	pentagram
五边形	pentagon
五项全能	pentathlon
井字棋	tic-tac-toe
井然	tidy
亚丁	Aden
亚利桑那	Arizona
亚原子	subatomic
亚单位	subunit
亚太	Asia-Pacific
亚急性	subacute
亚文化	subculture
亚松森	Asunción
亚格门农	Agamemnon
亚历山大里亚	Alexandria
亚比利尼	Abilene
亚特兰大	Atlanta
亚当	Adam
亚当斯	Adams
亚当斯敦	Adamstown
亚砷	arsenous
亚硝胺	nitrosamine
亚硝酸盐	nitrite
亚细亚	Asia
亚美尼亚	Armenia
亚临界	subcritical
亚该亚	Achaia
亚达薛西	Artaxerxes
亚铁	ferrous
亚马逊	Amazon
亚麻	flax
亚麻布	linen
亚麻籽	flaxseed
亟	anxiously
交叉感染	cross-infection
交叉火力	crossfire
交叉耐药性	cross-tolerance
交响乐	symphony
亦	also
亦或	or
亨格洛	Hengelo
享乐主义	hedonism
享乐主义者	hedonist
京哈	Beijing-Harbin
京东	Jingdong
京都	Kyoto
亭子	pavilion
亮度	brightness
亮饰	diamanté
亹	resolute
人儿	figurine
人力车	rickshaw
人参	ginseng
人口学	demography
人口数	population
人口普查	census
人口稠密	populous
人字形	V-shape
人工流产	abortion
人师	mentor
人心果	sapodilla
人文主义	humanism
人文学	humanities
人族	Hominini
人物描写	portrayal
人畜共患症	zoonosis
人群	crowd
人脉	contacts
人行横道	crosswalk
人行道	sidewalk
人质	hostage
人造丝	rayon
人造黄油	margarine
人类学	anthropology
人类学家	anthropologist
人体工学	ergonomics
什	what
什一奉献	tithing
什刹海	Shichahai
什么时候	when?
仇外心理	xenophobia
今日	today
今日头条	Toutiao
今晚	tonight
介绍信	reference
介词	preposition
仍然	still
仔猪	piglet
仗火	battle
付讫	paid
仙人掌	cactus
仙台	Sendai
仙子	fairy
代利斯	Dallys
代数	algebra
代尔夫特	Delft
代码	code
代词	pronoun
代金券	voucher
令人钦佩	admirable
令人发指	abhorrent
令状	writ
以人为本	people-oriented
以埃	Israel-Egypt
以太坊	Ethereum
以太网	Ethernet
以巴	Israeli-Palestinian
以弗所	Ephesus
以往	formerly
以叙	Israel-Syria
以色列	Israel
仰泳	backstroke
仲裁	arbitration
仵工	pallbearer
任何	any
任天堂	Nintendo
仿生	bionic
仿讽	parody
企求	desirous
企鹅	penguin
伊利埃斯库	Iliescu
伊势丹	Isetan
伊尼伊德	Aeneid
伊戈尔	Igor
伊拉克	Iraq
伊斯坦布尔	Istanbul
伊斯兰	Islam
伊朗	Iran
伊尔库茨克	Irkutsk
伊留申	Ilyushin
伋	unreal
伏羲	Fuxi
伏都教	Voodoo
休伊特	Hewitt
休惜	recess
休战	armistice
伯克利	Berkeley
伯利兹	Belize
伯恩茅斯	Bournemouth
伯明翰	Birmingham
伯尔尼	Bern
伯赛大	Bethsaida
估测	estimate
伴郎	groomsman
伶人	actress
似乎	seemingly
似雪	snowy
似鲴	Xenocyprioides
伽倻	Gaya
伽利略号	Galileo
但是	but
位元币	Bitcoin
位形	configuration
低三下四	servile
低俗化	vulgarization
低地	lowland
低平火山口	maar
低息	low-interest
低眉顺眼	docile
低洼	low-lying
低端	low-end
低等	inferior
低语	mutter
低音	bass
低音喇叭	woofer
低音大提琴	contrabass
低音炮	subwoofer
住友	Sumitomo
住址	address
住房	housing
佐世保	Sasebo
佐治亚	Georgia
佐罗	Zorro
佑护	blessing
占领者	occupant
何人	who
何方	where?
何时	when
佛手瓜	choko
佛教	Buddhism
佛教徒	Buddhist
佛法僧目	Coraciiformes
佛罗里达	Florida
作物	crop
作者	author
作证能力	competence
作马	sawhorse
你好	hello
佣金	commission
佩奇	Peppa
佳绩	success
佸	meet
使人信服	convincing
使徒	apostle
来客	guest
例外字	exceptions
侍应生	waiter
侍卫官	guard
供应品	supplies
供应商	supplier
依地酸二钴	kelocyanor
依属	dependence
依序	sequentially
依撒意亚	Isaiah
侯爵	marquis
侵权行为	tort
侵略者	aggressors
侵蚀作用	erosion
便利性	convenience
便士	penny
便帽	cap
便携式	portable
便民	user-friendly
便车旅行者	hitch-hiker
促进	boost
俄中	Russia-China
俄亥俄	Ohio
俄勒冈	Oregon
俄乌	Russo-Ukrainian
俄狄浦斯	Oedipus
俄罗斯	Russia
俊雅	graceful
俘虏	captive
俚语	slang
保人	guarantor
保加利亚	Bulgaria
保守主义	conservatism
保安族	Bao'an
保密性	secrecy
保温瓶	thermos
保洁	sanitation
保洁箱	litter-bin
保皇党	royalists
保真度	fidelity
保罗	Paul
保护主义	protectionism
保护国	protectorate
保护性	protective
保护者	protector
保镖	bodyguard
保障监督	safeguards
保险人	insurer
信差	messenger
信徒	believer
信息图	infographic
信息技术	IT
信息素	pheromone
信札	letter
信物	keepsake
信号	signal
信靠	trust
修指甲	manicure
修正主义	revisionism
修脚	pedicure
修脚师	pedicurist
修补匠	tinker
修道士	friar
俯卧撑	push-up
俳句	haiku
俸	stipend
俾格米	Pygmy
仓鼠	hamster
个人主义	individualism
个人电脑	PC
个体	individual
倍儿	really
倒位	inversion
倒着	backwards
倒角	chamfer
倔	gruff
幸存者	survivor
借代	metonymy
借译词	calque
倦	tired
伦敦	London
伦理	ethics
假性	pseudo-
假性近视	pseudomyopia
假惺惺	phony
假掰	pretentious
假期	vacation
假球	match-fixing
假设性	hypothetical
假设语气	subjunctive
假说	hypothesis
假象牙	celluloid
假释	parole
假体	implant
假发	wig
伟晶岩	pegmatite
偏执狂	paranoia
偏瘫	hemiplegia
偏颇	biased
偏头痛	migraine
偏黄	yellowish
做不到	impossible
停尸房	mortuary
停尸间	morgue
健力	powerlifting
健友	gym-goer
健忘	forgetful
健忘症	amnesia
健美运动	body-building
健身房	gym
侧记	sidelight
侦察性	investigatory
偶像	idol
偶合	coincidence
偷偷摸摸	sneaky
偷摸	surreptitious
偷猎者	poacher
伪代码	pseudocode
伪君子	hypocrite
伪善	hypocritical
伪科学	pseudoscience
伪纪录片	mockumentary
伪证	perjury
伪造者	forger
杰作	masterpiece
杰米	Jim
伞兵	paratrooper
伞形	umbrella-shaped
伞菌	agaric
备份	backup
催乳激素	prolactin
催化作用	catalysis
催化剂	catalyst
催泪剂	lachrymator
催产素	oxytocin
催眠	hypnosis
傮	finish
傲慢无礼	disrespectful
传呼机	pager
传单	leaflet
传感器	sensor
传教士	missionary
传染病学	epidemiology
传真电报	phototelegram
传闻	rumor
传声器	microphone
传道部	mission
伛	hunchbacked
债权人	creditor
债款	debt
伤寒	typhoid
傻	foolish
傻愣愣	petrified
傻瓜式	foolproof
傻眼	dumbfounded
傻头傻脑	muddle-headed
倾听者	listener
偻	crookbacked
佥	all
働	work
像片	photo
像素	pixel
侨民	expatriates
仆人	servant
僧侣	monk
僵住症	catalepsy
僵硬	stiff
价钱	price
仪式	ceremony
亿万富豪	multimillionaire
俭省	thrifty
儒教	Confucianism
儒艮	dugong
优胜	superior
优惠券	coupon
优步	Uber
优生学	eugenics
优异	exceptional
优秀	outstanding
优衣库	Uniqlo
优游自得	unfettered
优酷	Youku
储物柜	locker
兀自	yet
元帅	commander-in-chief
元数据	metadata
元气	vigor
元组	tuple
元认知	metacognition
元语言	metalanguage
元音	vowel
兄弟会	fraternity
充沛	abundant
充满阳光	sun-drenched
兆瓦	megawatt
兆瓦时	megawatt-hour
兆赫	megahertz
凶犯	murderer
凶神恶煞	devils
先例	precedent
先兆	omen
先前	before
先天性	congenital
先有	prior
先民	forebears
先决	prerequisite
先决条件	precondition
先烈	martyr
先秦	pre-Qin
先声	herald
先行者	forerunner
先见之明	foresight
先锋	vanguard
先锋派	avant-garde
先驱者	pioneer
光刻	photolithography
光化学	photochemistry
光合作用	photosynthesis
光学	optics
光年	light-year
光敏	photosensitive
光滑	glossy
光照	illumination
光环	halo
光磁	magneto-optical
光秃秃	bald
光芒万丈	splendor
光谱	spectrum
光谱图	spectrogram
光谱学	spectroscopy
光遗传学	optogenetics
光电	photoelectric
光电二极管	photodiode
光电子	photoelectron
光头党	skinheads
克什米尔	Kashmir
克利夫兰	Cleveland
克孜尔尕哈	Kizilgaha
克拉斯诺亚尔斯克	Krasnoyarsk
克拉科夫	Krakow
克尔白	Ka'aba
克罗地亚	Croatia
克苏鲁	Cthulhu
克虏伯	Krupp
克里米亚	Crimea
克雷伯氏菌属	Klebsiella
免息	interest-free
免疫力	immunity
免疫学	immunology
免疫法	immunization
免责声明	disclaimer
免费软件	freeware
儿媳	daughter-in-law
儿子	son
儿科	pediatrics
儿马	stallion
兔	rabbit
兔斯基	Tuzki
兜帽	hood
入侵者	intruder
入围者	finalist
入微	thoroughgoing
入时	fashionable
入海口	estuary
内啡肽	endorphin
内存储器	RAM
内布拉斯加	Nebraska
内涵意义	connotation
内涝	waterlogged
内窥镜	endoscope
内置	built-in
内罗毕	Nairobi
内臣	chamberlain
内华达	Nevada
内衣裤	underwear
内部网	intranet
内酯	lactone
内陆	inland
全国性	national
全场一致	unanimous
全天候	all-weather
全局性	global
全心全意	wholeheartedly
全息	holographic
全栈	full-stack
全民公决	referendum
全球化	globalization
全球而言	globally
全素食	vegan
全般	entire
全部	whole
全体人员	crew
两星期	fortnight
两样	different
两用	dual-use
两重	dual
八	eight
八倍体	octoploid
八字脚	splayfoot
八度	octave
八廓	Barkhor
八强赛	quarterfinals
八月份	August
八爪鱼	octopus
八角枫	alangium
八进制	octal
八达岭	Badaling
八边形	octagon
八开	octavo
八面体	octahedron
公丈	decameter
公主	princess
公允	equitable
公克	gram
公两	hectogram
公共	public
公升	liter
公司行号	businesses
公式	formula
公引	hectometer
公德心	civility
公斗	decaliter
公会	guild
公正	just
公民	citizen
公爵夫人	duchess
公牛	bull
公社	commune
公秉	kiloliter
公称	nominal
公义	righteousness
公猪	boar
公鸡	cock
公顷	hectare
六价	hexavalent
六分仪	sextant
六方	hexagonal
六月份	June
六芒星	hexagram
六边形	hexagon
六面体	hexahedron
共享软体	shareware
共同体	community
共和国	republic
共形	conformal
共时	synchronic
共济会	Freemasonry
共犯	accomplice
共生	symbiosis
共产主义	communism
共谋罪	conspiracy
共谋者	conspirator
共轭	math.
兵棋推演	war-gaming
兵队	troops
其实	actually
具体	concrete
典狱长	warden
典雅	refined
兼容	compatible
兼容性	compatibility
册历	diary
再不	alternatively
再处理	reprocessing
冒犯者	offender
冒纳罗亚	Moanalua
冒险者	adventurer
冗繁	miscellaneous
冗赘	verbose
冗长辩论	filibuster
冠状病毒	coronavirus
冠军	champion
冠军赛	championship
冤假错案	unjust
冤种	dupe
冬季	winter
冬蛰	hibernation
冬青	holly
冰上运动	ice-sports
冰凝器	cryophorus
冰塔	serac
冰屋	igloo
冰岛	Iceland
冰川	glacier
冰帽	icecap
冰晶石	cryolite
冰柱	icicle
冰柜	freezer
冰毒	methamphetamine
冰凉	ice-cold
冰爪	crampon
冰片	borneol
冰窖	icehouse
冰镇	iced
冶天	ATI
冶金学	metallurgy
冷	cold
冷冷	coldly
冷冽	chilly
冷却剂	coolant
冷厉	stern
冷水机组	chiller
冷知识	trivia
冷轧	cold-rolling
冷酷	unfeeling
冷酷无情	cold-hearted
冷飕飕	chilling
准将	commodore
凊	cool
凌乱	messy
凌志	Lexus
冻伤	frostbite
凝固汽油弹	napalm
凝液	condensate
凝胶	gel
凝花菜	gelidiella
凝血酶原	prothrombin
凡是	every
凯尼恩	Canyon
凯歌	paean
凯法劳尼亚	Kefalonia
凯尔特人	Celt
凯迪拉克	Cadillac
凯达格兰	Ketagalan
凵	receptacle
凶暴	brutal
凶残	savage
凸性	convexity
凸缘	flange
凸轮	cam
凸轮轴	camshaft
凹	concave
凹凸形	crenelated
凹凸有致	curvaceous
凹凸轧花	embossing
凹度	concavity
凹陷	hollow
出乎预料	unexpected
出入口	gateway
出席者	attendee
出版商	publisher
出版物	publications
出生地	birthplace
出色	remarkable
出血性	hemorrhagic
凼肥	manure
刀剑	sword
刀斧手	lictor
刀叶	blade
刀鞘	scabbard
分布式	distributed
分光光度法	spectrophotometry
分光计	spectrometer
分克	decigram
分册	fascicle
分升	deciliter
分局	sub-bureau
分属	classification
分岔	bifurcation
分形	fractal
分会场	sub-venues
分析器	analyzer
分水线	watershed
分泌物	secretion
分瓦	deciwatt
分生组织	meristem
分站	substation
分节	segmented
分米	decimeter
分裂主义	separatism
分解作用	decomposition
分贝	decibel
分销商	distributor
分镜	storyboard
分钟	minute
分离分子	separatist
切分音	syncopation
切实可行	feasible
切尔诺贝利	Chernobyl
切韵	Qieyun
刈	mow
刊物	publication
列克星顿	Lexington
列宁主义	Leninism
列支敦士登	Liechtenstein
初潮	menarche
别人	others
别克	Buick
别致	unusual
别处	elsewhere
别号	alias
刨子	plane
刨齿	gear-shaping
利他主义	altruism
利伯曼	Liberman
利古里亚	Liguria
利奈唑胺	Linezolid
利尿剂	diuretic
利己主义	egoism
利比亚	Libya
利比里亚	Liberia
利润	profits
利兹	Leeds
利宾纳	Ribena
利马	Lima
利默里克	Limerick
刮铲	scraper
刮胡刀	razor
到处	everywhere
制动器	brake
制度化	systematization
刺客	assassin
刺激物	stimulus
刺绣品	embroidery
刺耳	ear-piercing
刺猬	hedgehog
刻板印象	stereotype
刻痕	notch
前备箱	frunk
前传	prequel
前凸后翘	buxom
前列腺	prostate
前列腺炎	prostatitis
前列腺素	prostaglandin
前哨战	skirmish
前因	antecedents
前女友	ex-girlfriend
前寒武纪	pre-Cambrian
前戏	foreplay
前所未闻	unprecedented
前提条件	preconditions
前桅	foremast
前段时间	recently
前男友	ex-boyfriend
前腿	forelegs
前臂	forearm
前菜	appetizer
剖腹自杀	hara-kiri
刚度	stiffness
刚性	rigidity
刚毛	bristle
剪草机	lawnmower
剪贴簿	scrapbook
副主席	vice-chairperson
副刊	supplement
副校长	vice-principal
副业	sideline
副标题	subheading
副产品	by-product
副秘书长	vice-secretary
副总统	vice-president
副词	adverb
副议长	vice-chairman
副驾驶员	copilot
副黏液病毒	paramyxovirus
创作者	creator
创口	wound
创可贴	band-aid
创建者	founder
创业者	entrepreneur
剸	slash
划时代	epoch-marking
剧作家	playwright
剧本	script
剧集	series
劈离	split
剑客	swordsman
剑桥	Cambridge
剑术	swordsmanship
剑鱼	swordfish
剑龙	stegosaurus
劘	whittle
力波	Reeb
力矩	torque
力量	power
功利	utility
功利主义	utilitarianism
功效	efficacy
功烈	achievement
功能性	functionality
加之	moreover
加利福尼亚	California
加利福尼亚大学洛杉矶分校	UCLA
加利西亚	Galicia
加勒比	Caribbean
加密货币	cryptocurrency
加宽	widen
加德满都	Kathmandu
加拉加斯	Caracas
加拉巴哥斯	Galapagos
加拿大	Canada
加数	addend
加法	addition
加泰罗尼亚	Catalonia
加湿器	humidifier
加甜	sweeten
加的夫	Cardiff
加的斯	Cádiz
加纳	Ghana
加蓬	Gabon
加速度	acceleration
加里肋亚	Galilee
劣等	poor-quality
劣质	shoddy
助理	assistant
助词	particle
努克	Nuuk
努比亚	Nubia
努美阿	Nouméa
劫难	calamity
劬	labor
劻	zealous
勃朗宁	Browning
勃兰登堡	Brandenburg
勇敢	brave
勇气	courage
勒索罪	blackmail
动名词	gerund
动机	motive
动物性	animacy
动物毒素	zootoxin
动脉	artery
动脉瘤	aneurysm
动脉粥样硬化	atherosclerosis
动觉	kinesthesia
动词	verb
动量	momentum
动魄	shocking
勘误表	corrigenda
勋章	medal
胜任能力	competency
胜者	winner
劳务人员	laborer
劳拉西泮	lorazepam
劳斯莱斯	Rolls-Royce
势利	snobbish
势利小人	snob
勤快	diligent
勋绩	exploit
勷	haste
勿忘我	forget-me-not
包价	package
包皮环切术	circumcision
包菜	cabbage
包装物	packaging
匆匆	hurriedly
匆猝	hurried
匈奴	Xiongnu
匈牙利	Hungary
匕首	dagger
化妆舞会	masquerade
化学信息素	semiochemical
化学品	chemicals
化学家	chemist
化学性	chemical
化学疗法	chemotherapy
化学需氧量	COD
化油器	carburetor
化石	fossil
北佬	northerner
北圻	Tonkin
北方工业	Norinco
北海道	Hokkaidō
北莱茵·威斯特法伦州	Nordrhein-Westfalen
匙	spoon
匠	craftsman
匣	box
匪徒集团	gangster
汇划	remittance
汇寄	remit
匹夫匹妇	commoners
匿名	anonymous
区域性	regional
十一月份	November
十二指肠	duodenum
十二月份	December
十二边形	dodecagon
十二面体	dodecahedron
十亿位元	gigabit
十克	decagram
十六进制	hexadecimal
十四	fourteen
十四行诗	sonnet
十字架刑	crucifiction
十字丝	crosshairs
十字绣	cross-stitch
十月份	October
十进制	decimal
十边形	decagon
十项全能	decathlon
千	thousand
千伏	kilovolt
千位元	kilobit
千克	kilogram
千吨	kiloton
千字节	kilobyte
千层面	lasagna
千年	millennium
千焦	kilojoule
千瓦时	kilowatt-hour
千米	kilometer
千赫	kilohertz
千足虫	millipede
千里眼	clairvoyance
卅	thirty
午夜	midnight
午后	afternoon
午餐会	luncheon
卉	plants
半乳糖血症	galactosemia
半信半疑	skeptical
半圆	semicircle
半圆仪	protractor
半圆形	semicircular
半大不小	teenage
半官方	semiofficial
半封建	semifeudal
半导体	semiconductor
半岛	peninsula
半径	radius
半文盲	semiliterate
半殖民地	semicolonial
半决赛	semifinals
半流体	semifluid
半无限	semi-infinite
半熟	half-cooked
半熟练	semiskilled
半球	hemisphere
半神	demigod
半空	midair
半腱肌	semitendinosus
半自动	semiautomatic
半裸	half-naked
半规则	quasi-regular
半开化	semicivilized
半开半关	half-open
半音程	semitone
卌	forty
卍	swastika
卑南族	puyuma
卑尔根	Bergen
卑鄙无耻	despicable
协奏曲	concerto
协处理器	coprocessor
协调员	coordinator
南	south
南安普敦	Southampton
南岛民族	Austronesian
南希	Nancy
南方古猿	Australopithecus
南极洲	Antarctica
南瓜	pumpkin
南瓜灯	jack-o'-lantern
南诏国	Nanzhao
南赡部洲	Jambudvipa
博主	blogger
博伊西	Boise
博士学位	PhD
博士后	postdoc
博学	learned
博客圈	blogosphere
博彩	gambling
博格多	Bogdo
博尔德	Boulder
博物馆	museum
博福斯	Bofors
博茨瓦纳	Botswana
博蒙特	Beaumont
博鳌镇	Bo'ao
占婆	Champa
占星师	astrologer
占星术	astrology
占比	proportion
卡丁车	go-kart
卡利亚里	Cagliari
卡利卡特	Calicut
卡利多尼亚	Caledonia
卡塔尼亚	Catania
卡塔尔	Qatar
卡塔赫纳	Cartagena
卡夫	Kraft
卡宴	Cayenne
卡尺	calipers
卡恩	Kahn
卡扣	clip
卡拉布里亚	Calabria
卡斯特利翁	Castellón
卡斯蒂利亚·莱昂	Castilla-Leon
卡尔加里	Calgary
卡尔顿	Carleton
卡片	card
卡美洛	Camelot
卡西欧	Casio
卡顿	unresponsive
印古什	Ingushetia
印堂穴	yintang
印度	India
印度尼西亚	Indonesia
印度斯坦	Hindustan
印度音乐	Bhangra
印度－雅利安	Indo-Aryan
印第安纳	Indiana
印第安纳波利斯	Indianapolis
危地马拉	Guatemala
危害性	harmfulness
即插即用	plug-and-play
即时	immediate
即时即地	moment-to-moment
即由	namely
即兴发挥	improvisation
卵子	ovum
卵巢	ovary
卵母细胞	ovocyte
卵石	cobble
卷帙	book
卷须	tendril
厄娃	Eve
厄瓜多尔	Ecuador
厄立特里亚	Eritrea
厚度	thickness
厚颜无耻	shameless
原函数	antiderivative
原则性	principled
原创性	originality
原子弹	A-bomb
原居	indigenous
原木	logs
原核生物	prokaryote
原生质	protoplasm
原声带	soundtrack
原虫	protozoan
厌女症	misogyny
厌烦	bored
厌食症	anorexia
厉行	rigorously
去中心化	decentralization
去向	whereabouts
参孙	Samson
参数	parameter
参与者	participant
参议员	senator
参鸡汤	samgyetang
叉勺	spork
叉形	forked
友善	friendly
反例	counterexample
反倾销	anti-dumping
反共	anti-communist
反动派	reactionaries
反叛分子	rebel
反坦克	anti-tank
反季节	off-season
反安慰剂	nocebo
反射镜	reflector
反差	contrast
反应堆	reactor
反战	anti-war
反批评	countercriticism
反散射	backscatter
反日	anti-Japan
反时势	unconventional
反时针	counterclockwise
反智	anti-intellectual
反智主义	anti-intellectualism
反气旋	anticyclone
反乌托邦	dystopia
反照	reflection
反物质	antimatter
反犹太主义	antisemitism
反用换流器	inverter
反美	anti-American
反义词	antonym
反而	instead
反腐	anti-corruption
反舰艇	anti-ship
反刍动物	ruminant
反英	anti-English
反英雄	antihero
反华	anti-Chinese
反诉状	counterclaim
反语	irony
反贪污	anticorruption
反转录病毒	retrovirus
反革命	counterrevolutionary
反高潮	anticlimax
反党	anti-party
取款机	ATM
受害人	victim
受欢迎	popular
受穷	poor
受托者	trustee
受访者	interviewee
受难纪念	memorial
叛国	treason
叛教	apostasy
口哨	whistle
口感	mouthfeel
口才	eloquence
口水	saliva
口渴	thirsty
口琴	harmonica
口粮	ration
口红	lipstick
口角	altercation
口译	interpreting
口足目	Stomatopoda
口风琴	melodica
古人类学	paleoanthropology
古典	classical
古典派	classicists
古地磁	paleomagnetism
古巴	Cuba
古文字学	paleography
古时	antiquity
古气候学	paleoclimatology
古物	antique
古生物	paleo-organism
古生物学	palaeontology
古生物学家	paleontologist
古旧	archaic
句法	syntax
另用	diversion
叨	garrulous
只	only
只要	provided
叫法	term
召集人	convener
叮当声	tinkle
叮铃	jingle
可不是	indeed
可信	trustworthy
可信任	trusty
可动	movable
可口可乐	Coca-Cola
